Trade Date,X,Filing Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value
2020-10-26,D,2020-10-27 16:35:02,ADBE,Murphy John Francis,"EVP, CFO",S - Sale+OE,$480.90,"-4,000","11,883",-25%,"-$1,923,600"
2020-10-15,,2020-10-16 16:17:05,ADBE,Belsky Scott,"EVP, Chief Product Officer",S - Sale,$499.26,-600,"10,253",-6%,"-$299,556"
2020-10-08,,2020-10-08 17:26:44,ADBE,Chen Gloria,"EVP, CHRO, Employee Experience",S - Sale,$499.00,-484,"7,548",-6%,"-$241,516"
2020-10-01,,2020-10-02 16:08:48,ADBE,Lewnes Ann,"EVP, CMO",S - Sale,$498.76,"-5,000","30,257",-14%,"-$2,493,787"
2020-09-25,,2020-09-29 16:25:04,ADBE,Warnock John E,Dir,S - Sale,$472.53,"-2,500","444,788",-1%,"-$1,181,320"
2020-09-15,,2020-09-16 16:13:17,ADBE,Belsky Scott,"EVP, Chief Product Officer",S - Sale,$492.02,-600,"10,853",-5%,"-$295,212"
2020-09-08,,2020-09-09 16:14:35,ADBE,Chen Gloria,"EVP, CHRO, Employee Experience",S - Sale,$472.12,-497,"8,032",-6%,"-$234,644"
2020-09-01,,2020-09-02 16:25:27,ADBE,Lewnes Ann,"EVP, CMO",S - Sale,$519.74,"-5,000","35,257",-12%,"-$2,598,706"
2020-08-24,,2020-08-26 16:23:52,ADBE,Lamkin Bryan,"EVP, GM, Digital Media",S - Sale,$477.15,"-13,095","73,211",-15%,"-$6,248,242"
2020-08-17,,2020-08-18 16:44:54,ADBE,Belsky Scott,"EVP, Chief Product Officer",S - Sale,$450.31,-600,"11,453",-5%,"-$270,186"
2020-08-12,,2020-08-14 16:10:36,ADBE,Narayen Shantanu,"COB, Pres, CEO",S - Sale,$444.96,"-10,000","367,945",-3%,"-$4,449,591"
2020-08-10,,2020-08-12 16:05:44,ADBE,Chen Gloria,"EVP, CHRO, Employee Experience",S - Sale,$450.37,-498,"8,529",-6%,"-$224,284"
2020-08-05,,2020-08-06 16:20:32,ADBE,Narayen Shantanu,"COB, Pres, CEO",S - Sale,$451.14,"-10,000","377,945",-3%,"-$4,511,360"
2020-08-03,,2020-08-04 16:21:39,ADBE,Lewnes Ann,"EVP, CMO",S - Sale,$447.59,"-5,000","40,257",-11%,"-$2,237,927"
2020-07-29,,2020-07-31 16:36:11,ADBE,Narayen Shantanu,"COB, Pres, CEO",S - Sale,$438.10,"-10,000","387,945",-3%,"-$4,380,982"
2020-07-27,D,2020-07-28 16:46:45,ADBE,Murphy John Francis,"EVP, CFO",S - Sale+OE,$434.94,"-4,000","15,492",-21%,"-$1,739,740"
2020-07-24,D,2020-07-28 16:38:00,ADBE,Lamkin Bryan,"EVP, GM, Digital Media",S - Sale+OE,$427.66,"-13,094","86,306",-13%,"-$5,599,740"
2020-07-22,,2020-07-23 16:34:06,ADBE,Narayen Shantanu,"COB, Pres, CEO",S - Sale,$445.00,"-10,000","396,645",-2%,"-$4,449,965"
2020-07-15,,2020-07-16 16:29:43,ADBE,Narayen Shantanu,"COB, Pres, CEO",S - Sale,$432.68,"-10,000","406,645",-2%,"-$4,326,777"
2020-07-15,,2020-07-16 16:30:03,ADBE,Belsky Scott,"EVP, Chief Product Officer",S - Sale,$435.16,-600,"11,691",-5%,"-$261,096"
2020-07-08,,2020-07-09 16:23:42,ADBE,Chen Gloria,"EVP, CHRO, Employee Experience",S - Sale,$453.76,-497,"8,896",-5%,"-$225,519"
2020-07-01,,2020-07-01 18:24:52,ADBE,Lewnes Ann,"EVP, CMO",S - Sale,$436.08,"-5,000","44,874",-10%,"-$2,180,382"
2020-06-16,,2020-06-17 16:32:45,ADBE,Banse Amy,Dir,S - Sale,$411.01,"-5,100","30,638",-14%,"-$2,096,132"
2020-06-16,,2020-06-17 16:33:07,ADBE,Rao Dana,"EVP, Gen. Counsel, Secretary",S - Sale,$411.61,"-2,025","17,198",-11%,"-$833,500"
2020-06-16,,2020-06-17 16:33:13,ADBE,Warnock John E,Dir,S - Sale,$410.75,"-12,500","448,453",-3%,"-$5,134,426"
2020-06-15,,2020-06-17 16:32:58,ADBE,Belsky Scott,"EVP, Chief Product Officer",S - Sale,$398.80,-600,"12,217",-5%,"-$239,280"
2020-06-08,,2020-06-10 16:24:22,ADBE,Chen Gloria,"EVP, CHRO, Employee Experience",S - Sale,$390.56,-498,"9,282",-5%,"-$194,499"
2020-06-01,,2020-06-02 16:22:18,ADBE,Lewnes Ann,"EVP, CMO",S - Sale,$385.52,"-5,000","49,874",-9%,"-$1,927,578"
2020-05-15,,2020-05-18 16:20:18,ADBE,Belsky Scott,"EVP, Chief Product Officer",S - Sale,$352.45,-600,"12,817",-4%,"-$211,470"
2020-05-08,,2020-05-11 16:16:28,ADBE,Chen Gloria,"EVP, CHRO, Employee Experience",S - Sale,$370.00,-497,"9,780",-5%,"-$183,890"
2020-05-01,,2020-05-04 16:07:01,ADBE,Lewnes Ann,"EVP, CMO",S - Sale,$348.26,"-5,000","54,874",-8%,"-$1,741,279"
2020-04-15,,2020-04-16 17:03:00,ADBE,Belsky Scott,"EVP, Chief Product Officer",S - Sale,$335.34,-600,"13,055",-4%,"-$201,204"
2020-04-08,,2020-04-10 16:36:51,ADBE,Chen Gloria,"EVP, Strategy, Growth",S - Sale,$313.88,-498,"10,147",-5%,"-$156,312"
2020-04-01,,2020-04-02 16:33:21,ADBE,Lewnes Ann,"EVP, CMO",S - Sale,$306.97,"-5,000","59,565",-8%,"-$1,534,850"
2020-03-16,,2020-03-17 16:28:21,ADBE,Thompson Matthew,EVP WW Field Operations,S - Sale,$298.16,"-37,751","50,280",-43%,"-$11,255,921"
2020-03-16,,2020-03-17 16:31:07,ADBE,Belsky Scott,"EVP, Chief Product Officer",S - Sale,$301.40,-600,"13,655",-4%,"-$180,842"
2020-01-29,,2020-01-30 17:07:13,ADBE,Rao Dana,"EVP, Gen. Counsel, Secretary",S - Sale,$353.66,"-2,919","18,963",-13%,"-$1,032,332"
2020-01-28,D,2020-01-28 19:31:26,ADBE,Parasnis Abhay,"EVP, CTO",S - Sale+OE,$350.00,"-40,000","34,802",-53%,"-$14,000,000"
2020-01-28,D,2020-01-28 19:33:31,ADBE,Morris Donna,"EVP, CHRO, Employee Experience",S - Sale+OE,$348.16,"-25,481","39,963",-39%,"-$8,871,498"
2020-01-13,,2020-01-15 16:31:22,ADBE,Warnock John E,Dir,S - Sale,$345.38,"-1,600","457,236",0%,"-$552,614"
2020-01-03,DM,2020-01-07 17:55:10,ADBE,Geschke Charles M,Dir,S - Sale+OE,$332.71,"-28,764","107,620",-21%,"-$9,570,074"
2019-12-18,,2019-12-19 16:16:03,ADBE,Lewnes Ann,"EVP, CMO",S - Sale,$323.56,"-3,000","40,598",-7%,"-$970,684"
2019-12-16,,2019-12-18 16:11:48,ADBE,Garfield Mark S.,"VP, CAO, Corp. Controller",S - Sale,$319.27,-948,74,-93%,"-$302,668"
2019-11-20,,2019-11-21 16:03:30,ADBE,Lewnes Ann,"EVP, CMO",S - Sale,$300.54,"-3,000","43,598",-6%,"-$901,609"
2019-10-16,,2019-10-17 16:22:40,ADBE,Lewnes Ann,"EVP, CMO",S - Sale,$269.71,"-3,000","46,598",-6%,"-$809,129"
2019-09-18,,2019-09-20 16:27:14,ADBE,Lewnes Ann,"EVP, CMO",S - Sale,$274.34,"-3,000","49,598",-6%,"-$823,025"
2019-08-21,,2019-08-23 16:06:38,ADBE,Lewnes Ann,"EVP, CMO",S - Sale,$289.32,"-3,000","52,598",-5%,"-$867,964"
2019-07-30,,2019-07-31 16:07:42,ADBE,Rao Dana,"EVP, Gen. Counsel, Secretary",S - Sale,$303.36,"-2,832","17,198",-14%,"-$859,114"
2019-07-17,,2019-07-19 17:02:07,ADBE,Lewnes Ann,"EVP, CMO",S - Sale,$307.13,"-3,000","55,598",-5%,"-$921,390"
2023-02-01,,2023-02-03 17:11:01,IBM,Kavanaugh James J,"SVP, CFO",S - Sale,$133.73,"-38,519","89,253",-30%,"-$5,151,038"
2022-11-22,,2022-11-22 16:33:28,IBM,Del Bene Robert F,"VP, Controller",S - Sale,$148.36,"-3,000","14,553",-17%,"-$445,088"
2022-06-02,,2022-06-03 16:33:55,IBM,Del Bene Robert F,"VP, Controller",S - Sale,$139.04,"-1,600","15,062",-10%,"-$222,465"
2020-08-10,DM,2020-08-11 14:00:06,IBM,Gherson Diane J,SVP,S - Sale+OE,$128.74,"-5,824","25,988",-18%,"-$749,768"
2020-08-05,,2020-08-07 19:58:21,IBM,Gherson Diane J,SVP,S - Sale,$126.73,"-1,176","31,767",-4%,"-$149,034"
2020-02-26,,2020-02-27 18:43:55,IBM,Del Bene Robert F,"VP, Controller",S - Sale,$140.39,"-1,175","7,891",-13%,"-$164,952"
2020-02-19,M,2020-02-21 17:03:03,IBM,Del Bene Robert F,"VP, Controller",S - Sale,$151.03,"-2,350","9,066",-21%,"-$354,923"
2020-02-14,,2020-02-18 16:48:05,IBM,Del Bene Robert F,"VP, Controller",S - Sale,$151.97,"-1,175","11,416",-9%,"-$178,560"
2023-05-26,,2023-05-30 21:18:18,MU,Deboer Scott J,"EVP, Technology, Products",S - Sale,$70.00,"-20,000","188,340",-10%,"-$1,400,000"
2023-05-09,,2023-05-10 20:16:05,MU,Beyer Richard M,Dir,S - Sale,$59.88,"-4,000","95,660",-4%,"-$239,520"
2023-05-01,,2023-05-02 17:31:48,MU,Sadana Sumit,"EVP, Chief Business Officer",S - Sale,$62.48,"-49,500","251,654",-16%,"-$3,092,730"
2023-04-10,D,2023-04-12 17:07:53,MU,Bokan Michael W,"SVP, Worldwide Sales",S - Sale+OE,$63.14,"-20,000","192,287",-9%,"-$1,262,800"
2023-03-22,,2023-03-24 16:27:54,MU,Deboer Scott J,"EVP, Technology, Products",S - Sale,$60.00,"-20,000","208,340",-9%,"-$1,200,000"
2023-03-13,,2023-03-14 17:25:52,MU,Deboer Scott J,"EVP, Technology, Products",S - Sale,$53.40,"-20,000","228,340",-8%,"-$1,068,000"
2023-01-30,,2023-02-01 17:01:43,MU,Arnzen April S,"SVP, Chief People Officer",S - Sale,$61.91,"-24,000","118,885",-17%,"-$1,485,840"
2023-01-27,,2023-01-31 19:09:14,MU,Bhatia Manish H,"EVP, Global Operations",S - Sale,$63.29,"-50,000","260,347",-16%,"-$3,164,500"
2023-01-26,,2023-01-27 16:16:00,MU,Deboer Scott J,"EVP, Technology, Products",S - Sale,$62.23,"-20,000","248,340",-7%,"-$1,244,600"
2023-01-23,,2023-01-25 16:04:17,MU,Beard Robert P,"SVP, GC, Secretary",S - Sale,$61.25,"-3,000","42,840",-7%,"-$183,750"
2022-08-16,D,2022-08-18 7:39:38,MU,Bokan Michael W,"SVP, Worldwide Sales",S - Sale+OE,$63.82,"-16,600","136,327",-11%,"-$1,059,450"
2022-03-24,,2022-03-28 17:04:33,MU,Arnzen April S,"SVP, Chief People Officer",S - Sale,$76.00,"-5,600","89,172",-6%,"-$425,600"
2022-02-16,,2022-02-17 18:39:51,MU,Beard Robert P,"SVP, GC, Secretary",S - Sale,$96.17,-266,"10,688",-2%,"-$25,581"
2022-01-14,D,2022-01-19 19:33:56,MU,Mehrotra Sanjay,"CEO, Pres",S - Sale+OE,$97.16,"-100,000","911,590",-10%,"-$9,716,000"
2022-01-14,,2022-01-14 19:07:06,MU,Bhatia Manish H,"EVP, Global Operations",S - Sale,$96.02,"-97,107","213,099",-31%,"-$9,324,214"
2022-01-11,,2022-01-13 19:01:49,MU,Bokan Michael W,"SVP, Worldwide Sales",S - Sale,$93.83,"-20,000","136,008",-13%,"-$1,876,600"
2021-12-22,,2021-12-23 19:36:22,MU,Deboer Scott J,"EVP, Technology, Products",S - Sale,$90.00,"-15,000","186,587",-7%,"-$1,350,000"
2021-12-20,,2021-12-21 16:36:56,MU,Arnzen April S,"SVP, Chief People Officer",S - Sale,$82.09,"-8,300","94,450",-8%,"-$681,347"
2021-10-11,D,2021-10-12 17:08:19,MU,Poppen Joel L,"SVP, GC, Secretary",S - Sale+OE,$69.85,"-4,984","255,863",-2%,"-$348,148"
2021-09-24,,2021-09-27 17:30:57,MU,Arnzen April S,"SVP, Chief People Officer",S - Sale,$73.32,"-8,300","64,487",-11%,"-$608,556"
2021-09-15,D,2021-09-16 16:08:33,MU,Zinsner David,"SVP, CFO",S - Sale+OE,$73.26,"-8,050","158,144",-5%,"-$589,712"
2021-09-13,D,2021-09-15 17:33:55,MU,Poppen Joel L,"SVP, GC, Secretary",S - Sale+OE,$74.39,"-4,984","255,863",-2%,"-$370,760"
2021-08-16,D,2021-08-18 17:21:24,MU,Zinsner David,"SVP, CFO",S - Sale+OE,$70.59,"-8,050","158,144",-5%,"-$568,222"
2021-08-11,D,2021-08-12 18:19:24,MU,Poppen Joel L,"SVP, GC, Secretary",S - Sale+OE,$76.00,"-4,984","255,863",-2%,"-$378,784"
2021-07-15,D,2021-07-16 17:13:22,MU,Zinsner David,"SVP, CFO",S - Sale+OE,$77.16,"-8,050","158,094",-5%,"-$621,148"
2021-07-12,D,2021-07-13 17:21:20,MU,Poppen Joel L,"SVP, GC, Secretary",S - Sale+OE,$78.76,"-4,984","255,863",-2%,"-$392,540"
2021-07-06,D,2021-07-07 19:45:38,MU,Sadana Sumit,"EVP, Chief Business Officer",S - Sale+OE,$80.42,"-104,280","119,353",-47%,"-$8,386,198"
2021-06-25,,2021-06-29 19:24:21,MU,Arnzen April S,"SVP, Chief People Officer",S - Sale,$81.57,"-8,300","72,787",-10%,"-$677,031"
2021-06-15,D,2021-06-16 19:31:52,MU,Zinsner David,"SVP, CFO",S - Sale+OE,$82.19,"-8,050","158,094",-5%,"-$661,612"
2021-06-11,D,2021-06-14 17:30:34,MU,Poppen Joel L,"SVP, GC, Secretary",S - Sale+OE,$79.61,"-4,984","255,863",-2%,"-$396,761"
2021-05-19,,2021-05-20 19:16:07,MU,Sadana Sumit,"EVP, Chief Business Officer",S - Sale,$79.33,"-31,490","125,625",-20%,"-$2,497,944"
2021-05-17,D,2021-05-19 17:42:26,MU,Zinsner David,"SVP, CFO",S - Sale+OE,$79.40,"-8,050","158,094",-5%,"-$639,140"
2021-05-11,D,2021-05-12 19:21:07,MU,Poppen Joel L,"SVP, GC, Secretary",S - Sale+OE,$79.66,"-4,984","255,863",-2%,"-$397,016"
2021-04-15,D,2021-04-16 17:26:28,MU,Zinsner David,"SVP, CFO",S - Sale+OE,$90.15,"-8,050","158,094",-5%,"-$725,691"
2021-04-12,D,2021-04-13 16:18:52,MU,Poppen Joel L,"SVP, GC, Secretary",S - Sale+OE,$95.65,"-4,984","255,863",-2%,"-$476,733"
2021-04-05,D,2021-04-06 16:10:45,MU,Deboer Scott J,"EVP, Technology, Products",S - Sale+OE,$93.31,"-25,089","138,722",-15%,"-$2,341,055"
2021-03-25,,2021-03-29 16:42:48,MU,Arnzen April S,"SVP, Chief People Officer",S - Sale,$80.95,"-8,300","81,087",-9%,"-$671,885"
2021-03-15,D,2021-03-17 16:25:07,MU,Zinsner David,"SVP, CFO",S - Sale+OE,$87.52,"-8,050","158,094",-5%,"-$704,499"
2021-03-11,D,2021-03-15 16:36:36,MU,Poppen Joel L,"SVP, GC, Secretary",S - Sale+OE,$88.98,"-4,984","255,863",-2%,"-$443,465"
2021-02-16,,2021-02-18 18:40:28,MU,Poppen Joel L,"SVP, GC, Secretary",S - Sale,$87.79,"-46,554","255,863",-15%,"-$4,086,976"
2021-02-16,,2021-02-18 18:44:50,MU,Sadana Sumit,"EVP, Chief Business Officer",S - Sale,$88.00,"-70,000","141,370",-33%,"-$6,160,000"
2021-02-16,D,2021-02-18 18:23:20,MU,Zinsner David,"SVP, CFO",S - Sale+OE,$87.90,"-8,050","162,462",-5%,"-$707,612"
2021-02-11,D,2021-02-16 17:38:58,MU,Poppen Joel L,"SVP, GC, Secretary",S - Sale+OE,$85.80,"-4,984","302,417",-2%,"-$427,647"
2021-01-15,D,2021-01-19 17:26:46,MU,Zinsner David,"SVP, CFO",S - Sale+OE,$80.89,"-8,050","162,384",-5%,"-$651,196"
2021-01-13,,2021-01-14 17:41:48,MU,Bhatia Manish H,"EVP, Global Operations",S - Sale,$79.01,"-50,000","222,672",-18%,"-$3,950,500"
2021-01-13,,2021-01-13 20:41:53,MU,Arnzen April S,"SVP, Chief People Officer",S - Sale,$79.13,"-15,000","88,888",-14%,"-$1,186,950"
2021-01-11,D,2021-01-13 17:59:12,MU,Poppen Joel L,"SVP, GC, Secretary",S - Sale+OE,$78.66,"-4,985","301,918",-2%,"-$392,106"
2020-12-18,D,2020-12-22 17:00:37,MU,Zinsner David,"SVP, CFO",S - Sale+OE,$72.17,"-9,051","162,384",-5%,"-$653,218"
2020-12-04,D,2020-12-07 19:07:02,MU,Deboer Scott J,"EVP, Technology, Products",S - Sale+OE,$72.00,"-17,538","138,722",-11%,"-$1,262,736"
2020-12-03,,2020-12-03 18:31:08,MU,Deboer Scott J,"EVP, Technology, Products",S - Sale,$70.72,"-10,000","138,722",-7%,"-$707,200"
2020-11-30,,2020-11-30 18:21:34,MU,Deboer Scott J,"EVP, Technology, Products",S - Sale,$65.00,"-12,446","148,722",-8%,"-$808,990"
2020-11-16,D,2020-11-17 18:28:17,MU,Deboer Scott J,"EVP, Technology, Products",S - Sale+OE,$60.00,"-25,000","161,168",-13%,"-$1,500,000"
2020-11-16,D,2020-11-17 18:26:00,MU,Arnzen April S,"SVP, Chief People Officer",S - Sale+OE,$61.16,"-11,668","103,888",-10%,"-$713,616"
2020-11-09,D,2020-11-10 19:43:41,MU,Poppen Joel L,"SVP, GC, Secretary",S - Sale+OE,$56.80,"-30,900","304,658",-9%,"-$1,755,157"
2020-11-06,D,2020-11-10 19:45:43,MU,Deboer Scott J,"EVP, Technology, Products",S - Sale+OE,$55.00,"-27,640","171,168",-14%,"-$1,520,200"
2020-08-12,D,2020-08-14 18:13:42,MU,Deboer Scott J,"EVP, Technology Development",S - Sale+OE,$48.34,"-13,695","128,368",-10%,"-$662,016"
2020-08-03,,2020-08-05 17:18:55,MU,Marosvari Paul,"VP, Chief Accounting Officer",S - Sale,$50.36,-308,"5,907",-5%,"-$15,511"
2020-07-01,D,2020-07-02 17:36:43,MU,Arnzen April S,"SVP, HR",S - Sale+OE,$50.07,"-25,739","73,054",-26%,"-$1,288,785"
2020-06-30,,2020-07-01 16:33:15,MU,Deboer Scott J,"EVP, Technology Development",S - Sale,$51.79,"-10,000","128,368",-7%,"-$517,900"
2020-06-29,,2020-07-01 16:05:57,MU,Deboer Scott J,"EVP, Technology Development",S - Sale,$48.50,"-10,000","138,368",-7%,"-$485,000"
2020-04-27,,2020-04-28 16:37:18,MU,Arnzen April S,"SVP, HR",S - Sale,$45.00,"-2,542","73,054",-3%,"-$114,390"
2020-03-26,,2020-03-27 17:18:54,MU,Arnzen April S,"SVP, HR",S - Sale,$45.00,"-4,441","75,596",-6%,"-$199,845"
2020-02-25,,2020-02-26 17:54:30,MU,Arnzen April S,"SVP, HR",S - Sale,$54.75,"-4,400","80,037",-5%,"-$240,900"
2020-01-24,,2020-01-27 19:11:54,MU,Arnzen April S,"SVP, HR",S - Sale,$60.00,"-4,400","83,880",-5%,"-$264,000"
2020-01-07,D,2020-01-08 18:41:08,MU,Poppen Joel L,"SVP, Legal Affairs, General",S - Sale+OE,$56.97,"-20,000","281,395",-7%,"-$1,139,300"
2019-12-24,D,2019-12-26 9:47:34,MU,Arnzen April S,"SVP, HR",S - Sale+OE,$55.45,"-4,400","88,280",-5%,"-$243,980"
2019-12-23,D,2019-12-26 9:50:34,MU,Deboer Scott J,"EVP, Technology Development",S - Sale+OE,$56.00,"-13,694","148,368",-8%,"-$766,864"
2019-12-19,,2019-12-20 17:05:21,MU,Deboer Scott J,"EVP, Technology Development",S - Sale,$55.00,"-20,000","148,368",-12%,"-$1,100,000"
2019-11-25,,2019-11-26 18:01:28,MU,Arnzen April S,"SVP, HR",S - Sale,$46.10,"-4,534","92,680",-5%,"-$209,017"
2019-10-25,,2019-10-28 18:26:41,MU,Arnzen April S,"SVP, HR",S - Sale,$47.22,"-4,252","97,187",-4%,"-$200,779"
2019-10-10,,2019-10-15 17:02:47,MU,Byrne Patrick J,Dir,S - Sale,$43.27,"-23,264","97,739",-19%,"-$1,006,566"
2019-09-25,,2019-09-27 16:08:21,MU,Arnzen April S,"SVP, HR",S - Sale,$48.47,"-2,477","72,431",-3%,"-$120,060"
2019-09-11,,2019-09-12 16:35:01,MU,Deboer Scott J,"EVP, Technology Development",S - Sale,$50.00,"-20,000","110,236",-15%,"-$1,000,000"
2019-08-29,,2019-08-30 18:31:24,MU,Arnzen April S,"SVP, HR",S - Sale,$45.00,"-2,491","74,908",-3%,"-$112,095"
2019-08-01,,2019-08-02 17:14:10,MU,Bokan Michael W,"SVP, WORLDWIDE SALES",S - Sale,$45.64,-427,"39,398",-1%,"-$19,489"
2019-08-01,,2019-08-02 17:12:02,MU,Poppen Joel L,"SVP, Legal Affairs, General",S - Sale,$45.64,-654,"249,158",0%,"-$29,849"
2019-07-25,,2019-07-26 16:22:34,MU,Arnzen April S,"SVP, HR",S - Sale,$48.44,"-2,400","76,992",-3%,"-$116,256"
2019-07-24,D,2019-07-26 16:21:31,MU,Deboer Scott J,"EVP, Technology Development",S - Sale+OE,$48.00,"-8,475","130,236",-6%,"-$406,800"
2019-07-19,D,2019-07-22 16:21:07,MU,Bokan Michael W,"SVP, WORLDWIDE SALES",S - Sale+OE,$45.71,"-20,488","39,398",-34%,"-$936,420"
2019-07-15,,2019-07-16 18:10:30,MU,Arnzen April S,"SVP, HR",S - Sale,$45.00,"-4,800","79,392",-6%,"-$216,000"
2019-07-15,,2019-07-16 18:11:38,MU,Deboer Scott J,"EVP, Technology Development",S - Sale,$45.00,"-20,000","130,236",-13%,"-$900,000"
2023-06-26,,2023-06-27 17:48:16,NVDA,Dabiri John,Dir,S - Sale,$424.53,-283,"2,401",-11%,"-$120,142"
2023-06-16,M,2023-06-21 17:01:22,NVDA,Stevens Mark A,Dir,S - Sale,$431.03,"-118,602","4,324,184",-3%,"-$51,120,609"
2023-06-14,,2023-06-15 16:59:01,NVDA,Seawell A Brooke,Dir,S - Sale,$424.69,-860,"501,438",0%,"-$365,233"
2023-06-14,,2023-06-16 17:00:26,NVDA,Coxe Tench,Dir,S - Sale,$422.15,"-50,000","3,986,962",-1%,"-$21,107,720"
2023-06-13,,2023-06-14 16:54:11,NVDA,Jones Harvey C,Dir,S - Sale,$403.17,"-119,795","814,330",-13%,"-$48,297,293"
2023-06-07,,2023-06-09 16:12:47,NVDA,Hudson Dawn E,Dir,S - Sale,$384.03,"-3,500","81,850",-4%,"-$1,344,108"
2023-06-02,,2023-06-06 16:58:07,NVDA,Jones Harvey C,Dir,S - Sale,$405.00,"-70,205","934,125",-7%,"-$28,433,025"
2023-06-01,,2023-06-05 20:02:27,NVDA,Dabiri John,Dir,S - Sale,$384.89,-383,"2,034",-16%,"-$147,413"
2023-05-30,,2023-06-01 16:36:46,NVDA,Kress Colette,"EVP, CFO",S - Sale,$406.51,"-6,124","616,313",-1%,"-$2,489,468"
2023-05-26,,2023-05-31 17:20:34,NVDA,Drell Persis,Dir,S - Sale,$386.03,"-7,800","35,478",-18%,"-$3,011,042"
2023-05-26,,2023-05-31 18:26:14,NVDA,Coxe Tench,Dir,S - Sale,$379.00,"-100,000","4,036,962",-2%,"-$37,900,000"
2023-05-18,,2023-05-22 16:35:44,NVDA,Shoquist Debora,"EVP, Operations",S - Sale,$305.00,"-23,084","352,848",-6%,"-$7,040,620"
2023-03-30,,2023-03-31 18:40:43,NVDA,Hudson Dawn E,Dir,S - Sale,$274.55,"-5,000","85,350",-6%,"-$1,372,765"
2023-03-13,,2023-03-14 16:17:58,NVDA,Kress Colette,"EVP, CFO",S - Sale,$229.29,"-6,000","638,969",-1%,"-$1,375,747"
2023-02-27,,2023-02-28 16:59:05,NVDA,Perry Mark L,Dir,S - Sale,$236.37,"-20,000","152,962",-12%,"-$4,727,428"
2023-02-24,,2023-02-28 16:59:41,NVDA,Hudson Dawn E,Dir,S - Sale,$230.40,"-7,500","90,350",-8%,"-$1,728,002"
2023-01-27,,2023-01-27 21:00:05,NVDA,Shoquist Debora,"EVP, Operations",S - Sale,$205.00,"-23,532","362,976",-6%,"-$4,824,060"
2023-01-26,,2023-01-27 19:15:00,NVDA,Kress Colette,"EVP, CFO",S - Sale,$200.00,"-10,741","1,052,986",-1%,"-$2,148,200"
2023-01-26,A,2023-03-14 16:18:50,NVDA,Kress Colette,"EVP, CFO",S - Sale,$200.00,"-10,741","614,528",-2%,"-$2,148,200"
2023-01-12,M,2023-01-17 16:15:32,NVDA,Stevens Mark A,Dir,S - Sale,$165.54,"-65,000","4,442,786",-1%,"-$10,759,900"
2023-01-09,M,2023-01-11 19:36:32,NVDA,Stevens Mark A,Dir,S - Sale,$158.45,"-210,000","4,507,786",-4%,"-$33,273,900"
2022-12-21,,2022-12-22 16:02:52,NVDA,Stevens Mark A,Dir,S - Sale,$165.09,"-60,000","5,522,091",-1%,"-$9,905,486"
2022-12-19,,2022-12-19 18:51:34,NVDA,Dabiri John,Dir,S - Sale,$165.80,-293,"2,417",-11%,"-$48,579"
2022-12-15,,2022-12-16 16:24:16,NVDA,Robertson Donald F Jr,Principal Accounting Officer,S - Sale,$167.89,"-2,494","56,617",-4%,"-$418,718"
2022-11-21,,2022-11-22 16:15:44,NVDA,Dabiri John,Dir,S - Sale,$151.11,-495,"2,710",-15%,"-$74,799"
2022-10-13,,2022-10-17 17:51:03,NVDA,Stevens Mark A,Dir,S - Sale,$119.65,"-87,500","5,582,091",-2%,"-$10,469,235"
2022-10-11,,2022-10-13 19:10:48,NVDA,Stevens Mark A,Dir,S - Sale,$116.49,"-85,000","5,669,591",-1%,"-$9,902,020"
2022-09-01,,2022-09-06 18:39:11,NVDA,Dabiri John,Dir,S - Sale,$142.06,-945,"3,205",-23%,"-$134,247"
2022-06-13,M,2022-06-15 18:57:21,NVDA,Stevens Mark A,Dir,S - Sale,$158.07,"-227,650","5,754,591",-4%,"-$35,983,438"
2022-06-08,,2022-06-09 16:46:48,NVDA,Shoquist Debora,"EVP, Operations",S - Sale,$188.23,"-23,644","413,298",-5%,"-$4,450,583"
2022-05-27,,2022-06-01 16:28:51,NVDA,Stevens Mark A,Dir,S - Sale,$185.20,"-278,000","5,980,803",-4%,"-$51,485,542"
2022-05-27,,2022-06-01 16:30:00,NVDA,Dabiri John,Dir,S - Sale,$185.59,"-2,200","2,712",-45%,"-$408,298"
2022-03-28,,2022-03-29 19:26:42,NVDA,Coxe Tench,Dir,S - Sale,$274.06,"-100,000","4,285,524",-2%,"-$27,405,720"
2022-03-18,,2022-03-21 18:16:31,NVDA,Perry Mark L,Dir,S - Sale,$263.80,"-16,716","171,524",-9%,"-$4,409,699"
2022-03-01,D,2022-03-02 18:58:11,NVDA,Huang Jen Hsun,"Pres, CEO",S - Sale+OE,$237.13,"-292,340","84,649,537",0%,"-$69,321,000"
2022-01-03,D,2022-01-05 17:25:55,NVDA,Huang Jen Hsun,"Pres, CEO",S - Sale+OE,$302.17,"-440,000","84,649,495",-1%,"-$132,954,031"
2021-12-23,,2021-12-23 19:28:36,NVDA,Dabiri John,Dir,S - Sale,$297.50,-281,"4,912",-5%,"-$83,598"
2021-12-16,,2021-12-20 16:39:43,NVDA,Jones Harvey C,Dir,S - Sale,$311.50,"-41,484","1,002,892",-4%,"-$12,922,266"
2021-12-13,,2021-12-15 16:42:41,NVDA,Dabiri John,Dir,S - Sale,$302.05,-247,"5,193",-5%,"-$74,605"
